title,structure,focus,contact,basedIn,actingIn,OT:Tech for Good,OT:Funder,OT:Education,OT:Human Rights,OT:Research,OT:Other,DF:Access to Justice,DF:Citizenship,DF:Free Press / Exp,DF:Identity Provision,DF:Marg Rights,DF:Net Neutrality,DF:O Govt / Transp,DF:Participate / Vote ,DF:Privacy / Security,DF:Transparent £,DF:Broad / Other,DF:N/A,TF:AI,TF:App / DAPP / Web,TF:Block / Arch,TF:Crowd / Map,TF:Exp Use / Educate,TF:Open Source,TF:Tech Fund,TF:Telephony,TF:Online Learn,TF:Broad / Other,TF:N/A,about,activities,notes,url
Design 4 Democracy Coalition,Not For Profit,Tech / Democracy,info@design4democracy.org,Global,Global,TRUE,,,,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,,TRUE,,"Our mission is to ensure that information technology and social media play a proactive role in supporting democracy and human rights globally. As a community we create programs, training and dialogue that promote the safe and responsible use of technology to advance open, democratic politics and accountable, transparent governments. We work together to take action to counteract challenges to democracy that emerge from new technologies. We recognize the diversity of cultural and political contexts in which technology platforms operate and advance solutions that are designed with the active partnership of the communities who are impacted by particular technology.",,,https://d4dcoalition.org/
Digital Content Next,For-profit,Tech / Democracy,info@digitalcontentnext.org,"New York, USA",Global,TRUE,,,,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,,TRUE,,"Digital Content Next is the only trade organization dedicated to serving the unique and diverse needs of high-quality digital content companies that manage trusted, direct relationships with consumers and marketers. The organization was founded in June 2001 as the Online Publishers Association (OPA).",,,https://digitalcontentnext.org/about/overview/
Digital Life Collective,Not For Profit,Tech / Democracy,info@diglife.com,"Manchester, UK",Global,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,TRUE,,"The Digital Life Collective researches, develops, funds and supports Tech We Trust: technologies that prioritize our autonomy, privacy and dignity. Our tech, not their tech.",,,https://diglife.com/decentralization/
Foundation for Democracy and Sustainable Development,Not For Profit,Tech / Democracy,info@fdsd.org,"London, UK",UK,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,,,FALSE,,,FALSE,FALSE,,FALSE,,TRUE,FALSE,,,FALSE,,FALSE,,,FALSE,,TRUE,FALSE,"Deepening democracy to create a more sustainable society, economy and environment.","Brings together civil society, government, business and academia to explore the relationship between sustainable development and democracy. Organises events and workshops to share and develop ideas.",Based in UK. Grant?,http://www.fdsd.org/
HURIDOCS,Not For Profit,Tech / Democracy,info@huridocs.org,"Geneva,  Switzerland",Global,TRUE,,,TRUE,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,TRUE,,"HURIDOCS is an NGO that since 1982 supports human rights defenders use information technologies and documentation methods to organize and present data about violations. We are passionate about providing NGOs with the simplest and most efficient tools and techniques to advocate for their cause. Our team working in Africa, Asia, the Middle East and Eastern Europe understands the specific challenges of each of these contexts. ",,,https://www.huridocs.org/
K-monitor,Not For Profit,Tech / Democracy,info@k-monitor.hu,Hungary,Hungary,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,,,FALSE,,,FALSE,TRUE,,FALSE,,TRUE,FALSE,,TRUE,FALSE,,FALSE,TRUE,,FALSE,,TRUE,FALSE,Using technology to expose corruption in Hungary.,"Operates open data websites, conducts research and advocates for reform, challenging social indifference and encouraging participation through the use of open technology.",Based and operating in Hungary. Founded by volunteers in 2007.,
Lasa,Charity,Tech / Democracy,info@lasa.org.uk,"London, UK",UK,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,FALSE,,,FALSE,TRUE,,FALSE,,TRUE,FALSE,,TRUE,FALSE,TRUE,FALSE,TRUE,,FALSE,,TRUE,FALSE,"Using tech services to help NGOs, governments and others do more good in social welfare and law fields.","Offers free online advice and information on welfare rights, benefits, employment, debt, housing and a range of human rights issues relating to disability, asylum etc.",UK based only.,http://lasa.org.uk/
Mzalendo,Not For Profit,Tech / Democracy,info@mzalendo.com,Kenya,Kenya,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Mzalendo (‘Patriot’ in Swahili) is a non-partisan project started in 2005 whose mission is to ‘keep an eye on the Kenyan parliament.’ Mzalendo site seeks to promote greater public voice and enhance public participation in politics by providing relevant information about the National Assembly and Senate's activities.,,,
Omidyar Network,Charity,Tech / Democracy,info@omidyar.com,Global,Global,TRUE,TRUE,,,,,,TRUE,,TRUE,,,,,,,TRUE,,,,,,,,,,,TRUE,,"Omidyar Network seeks to strengthen the relationship between citizens and their governments. Our approach draws on the principles of openness and participation, favors solutions that leverage technology, and funds organizations and businesses that provide citizens with the information and tools they need to ensure their interests are represented and to hold their leaders to account.",,,https://www.omidyar.com/who-we-are
Psiphon,,Tech / Democracy,info@psiphon.ca,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://psiphon.ca/
Ranking Digital Rights,Not For Profit,Tech / Democracy,info@rankingdigitalrights.org,"Washington, USA",Global,TRUE,,,TRUE,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,FALSE,,TRUE,,"Ranking Digital Rights (RDR) is a non-profit research initiative housed at New America’s Open Technology Institute, working with an international network of partners to set global standards for how companies in the information and communications technology (ICT) sector should respect human rights. RDR produces a Corporate Accountability Index evaluating the world’s most powerful internet, mobile, and telecommunications companies on their disclosed policies and practices affecting freedom of expression and privacy.",,,
Save Your Internet Campaign,,Tech / Democracy,info@saveyourinternet.eu,EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://saveyourinternet.eu/
Spitfire Strategies,,Tech / Democracy,info@spitfirestrategies.com,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twaweza (We can make it happen),Not For Profit,Tech / Democracy,info@twaweza.org,Dar es Salaam,"Tanzania / Kenya / Uganda",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,,,FALSE,,,FALSE,TRUE,,FALSE,,TRUE,FALSE,,,FALSE,,TRUE,,,TRUE,,,FALSE,"Working on enabling children to learn, citizens to exercise agency and governments to be more open and responsive in East Africa.",Provides information to foster quality media and citizen monitoring services and tries to create an 'ecosystem of change'. Takes ideas into schools for children to learn. Uses mobile phone surveys to gauge citizens' views for policy and law makers.,Grant? ,https://twaweza.org/go/evaluators-meeting
Wikimedia Foundation,Not For Profit,Tech / Democracy,info@wikimedia.org,Global,Global,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,TRUE,,,FALSE,FALSE,,FALSE,,TRUE,FALSE,,,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,"The non-profit Wikimedia Foundation provides the essential infrastructure for free knowledge. We host Wikipedia, the free online encyclopedia, created and edited by volunteers around the world, as well as many other vital community projects. We welcome anyone who shares our vision to join us in collecting and sharing knowledge that fully represents human diversity.",,,https://wikimediafoundation.org/
WISeKey & Rwandan Government,For-profit,Tech / Democracy,info@wisekey.com,"Geneva, Switzerland",Rwanda,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,,,FALSE,TRUE,,FALSE,FALSE,,FALSE,,,FALSE,,,TRUE,,FALSE,,,FALSE,,,FALSE,"Using blockchain in Rwanda to support the Rwandan government and its citizens and business sector access to policy, technical and business expertise.","1. Digitising the country's land registry so ownership and identity match. 2. Putting the country at the forefront of the use of blockchain technology, creating a Blockchain Centre of Excellence.",Collaboration with Microsoft.,https://www.wisekey.com/press/wisekey-and-microsoft-collaborate-to-support-rwandan-government-make-secure-transactions-using-blockchain-technology/
JavaRasprava.bra,Not For Profit,Tech / Democracy,info@zastone.ba,Bosnia and Herzegovina,Bosnia and Herzegovina,TRUE,,,,,,,TRUE,,,,,TRUE,TRUE,,,TRUE,,,,,,,,,,,TRUE,,javnarasprava.ba is a web platform where you have the opportunity to directly participate in decision-making processes in BiH as well as the opportunity to communicate with those who make those decisions. Through this page you can find out more about the process of passing laws in BiH and the work of legislative bodies at the state and entity levels; to be involved in the debate on the proposals of laws that are in the procedure; communicate with elected parliamentarians or launch a petition or initiative that will be directed to the responsible person.,,,http://www.javnarasprava.ba/bih/Home/About
Nesta,Charity,Tech / Democracy,information@nesta.org.uk,"London, UK",UK,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,,,FALSE,,,FALSE,FALSE,,FALSE,,TRUE,FALSE,,,FALSE,,FALSE,,,FALSE,,TRUE,FALSE,A global innovation foundation backing new ideas to tackle the big challenges of our time.,"1. Sharelab Fund - £15-30k grants for start ups 2. Good Incubation","Works with governments, businesses and charities across the globe. Example project - States of Change Learning Partner",https://www.nesta.org.uk/government-innovation/
18F,Government,Tech / Democracy,inquiries18F@gsa.gov,"Washington, USA",USA,TRUE,,,,,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,TRUE,,"18F is an office of federal employees within the General Services Administration (GSA) that collaborates with other agencies to fix technical problems, build products, and improve how government serves the public through technology. 18F is part of the Technology Transformation Services, which is within the Federal Acquisition Service.",,,https://18f.gsa.gov/
CityLab,,Tech / Democracy,jdesilva@citylab.com,"Berlin, Germany",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amandla.mobi,Not For Profit,Tech / Democracy,koketso@amandla.mobi ,"Johannesburg, South Africa",South Africa,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,TRUE,FALSE,,,FALSE,,,FALSE,,FALSE,,,TRUE,,,FALSE,Use cell phones in South Africa to enable those affected by poverty to hold decision makers to account ,SMS Campaigns,,
OpenMedia,,Tech / Democracy,krusheska@openmedia.org,Canada,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openmedia.org/en/about
Viet Tan,,Tech / Democracy,lienlac@viettan.org,Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://viettan.org/en/about-viet-tan/
Tech for Good Global,Not For Profit,Tech / Democracy,mail@techforgood.tv,"London, UK",Global,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,,FALSE,,TRUE,FALSE,,,FALSE,,FALSE,,,FALSE,,TRUE,FALSE,Shining a light on the people and technology making our world better. Bringing the human side of technology for social change.,"Provides information on tech for good projects from around the world. Researches into trends and insights. Supports community capacity building. Runs events, makes films and runs a podcast.",Promotion?,
Maji Voice,Not For Profit,Tech / Democracy,MajiVoice@wasreb.go.ke,Kenya,Kenya,TRUE,,,,,,,,,,,,,TRUE,,,,,,,,,,,,TRUE,,TRUE,,MajiVoice is a service that enables Kenyans to easily and conveniently reach their Water Company (through a mobile phone or the Internet).,,,http://www.majivoice.com/
IPPR,Not For Profit,Tech / Democracy,north@ippr.org,"London, UK",UK,,,,,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,,TRUE,,"Promote research into (and the publication of the useful results thereof) and the education of the public in the economic, social and political sciences and in science and technology, the voluntary sector and social enterprise, public services, and industry and commerce",,,
ProZorro,Not For Profit,Tech / Democracy,pr@prozorro.ua,"Kiev, Ukraine",Ukraine,TRUE,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,TRUE,,"ProZorro is a fully online public procurement platform and a collaboration environment that ensures open access to public procurement (tenders) in Ukraine. Fully implemented in 2016 as a hybrid (both centralized public and decentralized private marketplaces) system it has since been globally recognized as one of the most innovative public procurement systems delivering government services in a stakeholder-focused, transparent, effective, fair and low-cost way.",,,https://prozorro.gov.ua/en
Derechos Digitales,Charity,Tech / Democracy,prensa@derechosdigitales.org,Chile,Latin America,TRUE,,,,,,,,TRUE,,,,TRUE,,TRUE,,TRUE,,,,,,,,,,,TRUE,,"Our vision is to contribute towards a more just, inclusive and egalitarian Latin American society, in which Derechos Digitales participates, directly and in coordination with other organizations, in the defense of human rights in the digital environment so that technologies are at the service of development integral of people.",,,https://www.derechosdigitales.org/quienes-somos/derechos-digitales/
Stanford Center for Internet & Society,,Tech / Democracy,schewick@stanford.edu,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cyberlaw.stanford.edu/
Amnesty International,Charity,Tech / Democracy,sct@amnesty.org.uk,"London, UK",Global,,,,TRUE,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,FALSE,TRUE,,,,,,,,,,,TRUE,,"The world's largest grassroots human rights organisation. We investigate and expose abuses, educate and mobilise the public, and help transform societies to create a safer, more just world. We received the Nobel Peace Prize for our life-saving work.",,,https://www.amnesty.org.uk/issues/technology-and-human-rights
Verify-Sy,,Tech / Democracy,Social Media,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.verify-sy.com/Pages/ViewPage/1/About%20Us/en
LSE Truth Trust and Technology Commission,University,Tech / Democracy,T3commission@lse.ac.uk,"London, UK",UK,,,,,TRUE,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,FALSE,TRUE,,"The LSE Truth, Trust and Technology (T3) Commission deals with the crisis in public information. We will work with experts, practitioners and the public to identify structural causes of media misinformation and set out a new framework for strategic policy. Funded by the LSE Knowledge Exchange & Impact Fund.",,,
The Sinar Project,Not For Profit,Tech / Democracy,team@sinarproject.org,Malaysia,Malaysia,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,,,FALSE,,,FALSE,TRUE,,FALSE,,TRUE,FALSE,,,FALSE,,FALSE,TRUE,,FALSE,,TRUE,FALSE,"Seeking to make Malaysian government transparent, accountable and open to civic engagement.",Civic-tech organisation using open-source technology.,,https://sinarproject.org/about/contact-us
Tactical Technology Collective,Not For Profit,Tech / Democracy,ttc@tacticaltech.org,"Berlin, Germany",Global,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,TRUE,,TRUE,,TRUE,FALSE,,,FALSE,,FALSE,,,FALSE,,TRUE,FALSE,"Tactical Tech is a Berlin-based non-profit organisation working at the intersection of technology, human rights and civil liberties. We provide trainings, conduct research and create cultural interventions that contribute to the wider socio-political debate around digital security, privacy and the ethics of data.",,,https://tacticaltech.org/
Benetech,Not For Profit,Tech / Charitable,https://benetech.org/about/contact/,USA,Global,TRUE,,,,,FALSE,,,,,,,,,,,TRUE,,,,,,,,,,,TRUE,,Empower human rights defenders to pursue truth and justice through purpose-built software and capacity building.,,,https://benetech.org
Better Reykjavik,Not For Profit,Tech / Democracy,upplysingar@reykjavik.is,"Reykjavík, Iceland","Reykjavík, Iceland",TRUE,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,TRUE,,Better Reykjavík is an online consultation forum where citizens are given the chance to present their ideas on issues regarding services and operations of the City of Reykjavík. Anyone can view the open forum and registered users who approve the terms of participation can participate in the forum.,,,https://reykjavik.is/en/better-reykjavik-0
Blockchain for Social Impact Coalition,Not For Profit,Tech / Charitable,https://blockchainforsocialimpact.com/contact-us/,USA,Global,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,,,FALSE,TRUE,,FALSE,FALSE,,FALSE,,,FALSE,,,TRUE,,FALSE,,,FALSE,,,FALSE,"Leveraging the Ethereum blockchain for social impact across the UN sustainable development goals especially relating to infrastructure, refugees and democracy.","Incubates, develops and implements shared solutions using blockchain products that can address social and environmental issues. Organises conferences to share ideas, products and practice.","US based initiative of Consensys, a venture production studio based in New York.",https://blockchainforsocialimpact.com/
Smex,Not For Profit,Tech / Democracy,info@smex.org,"Beirut, Lebanon",MENA,TRUE,,,,,,,,,,,,TRUE,TRUE,TRUE,,TRUE,,,,,,,,,,,TRUE,,"SMEX advocates for a free and open, diverse and dynamic Arab internet through training, organizing, and localizing media empowerment. Run Bread and Net conference.",Bread and Net Festival,,https://smex.org/
Brigade,Not For Profit,Tech / Democracy,hello@brigade.com,USA,USA,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,TRUE,,"Brigade connects you to other Americans who share your views, and recommends actions you can take together to create real change.",,,https://brigade.com/?mod=article_inline
"Canadian Internet Policy and Public Interest Clinic, CIPPIC",University,Tech / Democracy,cippic@uottawa.ca,"Ottawa, Canada",Canada,,,,,TRUE,TRUE,,,TRUE,,,TRUE,TRUE,,,,TRUE,,TRUE,,,,,,,,,TRUE,,"CIPPIC is Canada’s first and only public interest technology law clinic. CIPPIC is unique in Canada, bringing together a team of expert legal professionals and students to advocate for the public interest in policy debates arising from the intersection of law and technology. CIPPIC advocates for the public interest on cutting edge issues including copyright law, data governance, algorithmic decision-making, internet governance, net neutrality, state surveillance, privacy and free speech. CIPPIC’s work resides at the heart of Canada’s innovation policy agenda: CIPPIC ensures respect for Canadians’ rights as the law responds to our use of ever-changing technologies.",,,https://cippic.ca/about-us
CAST,Charity,Tech / Democracy,https://wearecast.org.uk/contact/,UK,UK,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,TRUE,,"Create a more responsive, resilient and digitally-enabled social sector by supporting nonprofits to embed digital and design across their services, strategy and governance and working with sector leaders, funders and government to make this happen.",,,https://wearecast.org.uk/
Centre for Democracy and Technology,Not For Profit,Tech / Democracy,https://cdt.org/contact/,"Washington, USA",Global,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,,,TRUE,,,FALSE,FALSE,,TRUE,,,FALSE,,,TRUE,,FALSE,,,FALSE,,,FALSE,Working to preserve an open internet and enhance freedom of expression globally whilst protecting rights of privacy and civil liberties. ,Lobbies policy and legislative bodies globally to further its mission. Works in partnership with government bodies and global agencies to embed the values of an open internet which protects privacy and civil liberties in legislative frameworks. ,Grant? Based in the US but has an office in Brussels. Founded 1994. Global reach.,https://cdt.org/about/
"Centre for International Governance Innovation, CIGI",Not For Profit,Tech / Democracy,https://www.cigionline.org/contact,"Ontario, Canada",Global,,,,,TRUE,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,TRUE,,"We are the Centre for International Governance Innovation: an independent, non-partisan think tank with an objective and uniquely global perspective. Our research, opinions and public voice make a difference in today’s world by bringing clarity and innovative thinking to global policy making. By working across disciplines and in partnership with the best peers and experts, we are the benchmark for influential research and trusted analysis.",,,
Change.org UK,Charity,Tech / Democracy,,UK,Global,TRUE,,,TRUE,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,"On Change.org, people everywhere are starting campaigns, mobilising supporters, and working with decision makers to drive solutions.",,,
Citizen Budget,,Tech / Democracy,info@opennorth.ca,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.citizenbudget.com/
Citizen Lab ,Not For Profit,Tech / Democracy,inquiries@citizenlab.ca,"Toronto, Canada",Global,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,TRUE,,,FALSE,TRUE,,TRUE,,,FALSE,,,FALSE,,FALSE,,,FALSE,,TRUE,FALSE,"focusing on research, development, and high-level strategic policy and legal engagement at the intersection of information and communication technologies, human rights, and global security.",Research,Academic partner?,https://citizenlab.ca/about/
Civic Data Alliance,Not For Profit,Tech / Democracy,,"Louisville, USA",Global,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,,,FALSE,,,FALSE,TRUE,,FALSE,,TRUE,FALSE,,,FALSE,TRUE,FALSE,TRUE,,FALSE,,TRUE,FALSE,"We STRONGLY believe that our government should uphold and advocate for ethical principles regarding Open Data and be accountable for their Open Data practices, including the ethical collection, implementation and sharing of The People’s data.",,,http://www.civicdataalliance.org/
Civic Tech Toronto,Not For Profit,Tech / Charitable,hi@civictech.ca,"Toronto, Canada",Canada,TRUE,,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,,,TRUE,,"Civic Tech Toronto is bringing together an enthusiastic pack of people, to work together, learn together and create civic tech.",,,http://civictech.ca/about-us/
Civil,For-profit,Tech / Democracy,hello@civil.co,"New York, USA?",Global,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,,,TRUE,,,FALSE,TRUE,,FALSE,,,FALSE,,,TRUE,,FALSE,,,FALSE,,,FALSE,Building a newsroom platform using blockchain technology and crypto economics to create an open and decentralised market for independent journalism.,"Provides incorruptible, distributed archival storage. Creates ability for citizens to directly fund journalists. Provides sustainable financial model for independent journalism.","US based. Brand new launch, Spring 2018.",
CNIL (French Data Protection Authority),Government,Tech / Democracy,,"Paris, France",France,,,,,,TRUE,,,,,,,,,TRUE,,TRUE,,TRUE,,,,,,,,,TRUE,,"To protect personal data, support innovation, preserve individual liberties. Beyond raising awareness and sharing information on data protection culture, the CNIL has an advisory power, an onsite and offsite investigatory power as well as an administrative sanctioning power. It has established and coordinates the network of Data Protection Officers (also known as the “ Correspondants Informatiques et Libertés”). The CNIL analyses the consequences of new technologies on citizens’ private life. Finally, it collaborates closely with its European and international counterparts.",,,https://www.cnil.fr/en/home
Consul,Not For Profit,Tech / Democracy,institucional@madrid.es,"Madrid, Spain",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CONSUL is the most complete citizen participation tool for an open, transparent and democratic government.",,,http://consulproject.org/en/
Data and Society,Not For Profit,Tech / Democracy,info@datasociety.net,"USA, New York",Global,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,FALSE,,TRUE,FALSE,FALSE,,TRUE,,TRUE,FALSE,TRUE,,FALSE,,FALSE,,,FALSE,,TRUE,FALSE,Data & Society is a research institute in New York City that is focused on the social and cultural issues arising from data-centric and automated technologies.,,https://medium.com/doteveryone/intheloop-45f38de30632,https://datasociety.net/
Decide Madrid,Government,Tech / Democracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uses Consul platform,,,https://decide.madrid.es/
Deep Mind Ethics and Society,Not For Profit,Tech / Democracy,https://deepmind.com/applied/deepmind-ethics-society/contact-us/,"London, UK",Global,TRUE,,,,TRUE,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,"DeepMind is the world leader in artificial intelligence research and its application for positive impact. We’re on a scientific mission to push the boundaries of AI, developing programs that can learn to solve any complex problem without needing to be taught how. If we’re successful, we believe this will be one of the most important and widely beneficial scientific advances ever made, increasing our capacity to understand the mysteries of the universe and to tackle some of our most pressing real-world challenges. From climate change to the need for radically improved healthcare, too many problems suffer from painfully slow progress, their complexity overwhelming our ability to find solutions. With AI as a multiplier for human ingenuity, those solutions will come into reach.  OWNED BY ALPHABET",,,https://deepmind.com/blog/why-we-launched-deepmind-ethics-society/
Demagog Association,Not For Profit,Tech / Democracy,kontakt@kodujdlapolski.pl,Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://codeforpoland.org/projects/demagog-fact-checking/
Democracy Barometer,University,Tech / Democracy,democracy.barometer@ipz.uzh.ch,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.democracybarometer.org/concept_en.html
Digi.me,Not For Profit,Tech / Democracy,https://digi.me/contact-us,"UK USA",Global,TRUE,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,TRUE,,Digi.me and Personal (which merged in 2017) have been widely recognised since 2009 for pioneering user control over data while enhancing privacy. Our decentralised architecture shifts power to individuals and developers by making it easy for people to aggregate their own data and privately share with apps that play by these new rules.,,,
Digital Agenda,Not For Profit,Tech / Democracy,editor@digital-agenda.co.uk,UK,UK,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,,FALSE,,TRUE,FALSE,,,FALSE,,FALSE,,,FALSE,,TRUE,FALSE,Sharing ideas that look to make the world a better place by adding impetus to the Tech for Good movement.,"Promotes Digital Agenda manifesto for change. Builds networks of innovators, investors, policy makers and academics to effect change based in tech for good. ",Research? T4G Academy Based in UK. Founded 2016.,https://www.digital-agenda.co.uk/
Digital Democracy,Not For Profit,Tech / Democracy,info@digital-democracy.org,"Oakland, USA",Global,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,FALSE,TRUE,FALSE,,,FALSE,,TRUE,FALSE,Empowering marginalised communities across the world to use technology to defend their rights.,Trains communities to use basic digital tools. Conducts capacity building with partners. Co-creates tech solutions to social and environmental problems with partners. Scales impact from local to global by sharing ideas and practice.,Grant? US based but global reach.,https://www.digital-democracy.org/mission/
Digital Inclusion NZ,Not For Profit,Tech / Democracy,digitalinclusion@2020.org.nz ,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://digitalinclusion.nz/
Digital Intelligence Lab at the Institute for the Future.,Not For Profit,Tech / Charitable,http://www.iftf.org/iftf-you/contact-us/,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IFTF is the world’s leading futures thinking organization. For over 50 years, businesses, governments, and social impact organizations have depended upon IFTF global forecasts, custom research, and foresight training to navigate complex change and develop world-ready strategies.",,,
Digital Rights Foundation,Not For Profit,Tech / Democracy,info@digitalrightsfoundation.pk,Pakistan,Pakistan,TRUE,,,TRUE,TRUE,,,,TRUE,,,,,,,,,,,TRUE,,,,,,,,TRUE,,"DRF envisions a place where all people, and especially women, are able to exercise their right of expression without being threatened. We believe that free internet with access to information and impeccable privacy policies can encourage such a healthy and productive environment that would eventually help not only women, but the world at large.",,,https://digitalrightsfoundation.pk/
Digital Security Lab Ukraine,Not For Profit,Tech / Democracy,,Ukraine,Ukraine,,,,TRUE,,TRUE,,,TRUE,,,,TRUE,,TRUE,,,,,TRUE,,,,,,,,TRUE,,,,,https://medium.com/@cyberlabukraine
Doteveryone,Not For Profit,Tech / Democracy,hello@doteveryone.org.uk,"London, UK",Global,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,FALSE,,,FALSE,TRUE,,FALSE,,TRUE,FALSE,,,FALSE,,FALSE,,,FALSE,,TRUE,FALSE,Championing responsible technology for the good of everyone in society and making digital technologies understandable.,"Provides a think tank for ideas and research on how to go beyond simple coding towards digital understanding. Works to adapt, question and shape the way technologies are changing the world.",Research partner?,https://doteveryone.org.uk/
DROG,Not For Profit,Tech / Democracy,info@aboutbadnews.com,"The Hague, Netherlands",Europe,TRUE,,TRUE,,,,,TRUE,TRUE,,,,TRUE,,,,,,,TRUE,,,,,,,TRUE,FALSE,,"We are a multidisciplinary team of academics, journalists and media-experts. We conduct research, give talks, offer workshops and educational programmes and create innovative tools that help you build resistance to disinformation.",,,https://aboutbadnews.com/social-impact-game
"Electronic Frontier Foundation, EFF",Not For Profit,Tech / Democracy,info@eff.org,"San Francisco, USA",Global,TRUE,,,TRUE,TRUE,TRUE,,,TRUE,,,,TRUE,,TRUE,,TRUE,,,,,,,,,,,TRUE,,"The Electronic Frontier Foundation is the leading nonprofit organization defending civil liberties in the digital world. Founded in 1990, EFF champions user privacy, free expression, and innovation through impact litigation, policy analysis, grassroots activism, and technology development. We work to ensure that rights and freedoms are enhanced and protected as our use of technology grows.",,,https://www.eff.org/about
ePaństwo Foundation,Not For Profit,Tech / Democracy,,"Warsaw, Poland",Global,TRUE,TRUE,,,,,,,TRUE,,,,TRUE,,,,TRUE,,,,,,,,,,,TRUE,,"ePaństwo Foundation's aim is to develop democracy, open and transparent authorities and civic engagement. We take various types of public data and, using the power of Internet and new technologies, present it to citizens free of charge. We give the citizens the knowledge and the tools to make their country better.",,,https://epf.org.pl/en/
EU Datathon,Government,Tech / Democracy,op-datathon@publications.europa.eu,EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Digital Rights (EDRi),Not For Profit,Tech / Democracy,brussels@edri.org,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Information technology has a revolutionary impact on our society. It has boosted freedom of communication and democracy but has also led to new approaches to surveillance and is increasingly used to impose restrictions on fundamental rights. Our role is to ensure that citizens’ rights and freedoms in the online environment are respected whenever they are endangered by the actions of political bodies or private organisations. Freedom, transparency and the rule of law are therefore our core priorities. Find out more about our mission.",,,https://edri.org/
